geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,Missouri,All,2009-10,201020,,,84,984,8.536585366,93.2312421
State,,Georgia,All,2009-10,201032,,,89,1283,6.936866719,94.67163773
State,,Georgia,All,2009-10,200948,,,91,1418,6.417489422,104.6331896
State,,Oklahoma,All,2009-10,200943,,,82,692,11.84971098,99.38497695
State,,Louisiana,All,2009-10,201026,,,49,754,6.49867374,96.38818039
State,,Oregon,All,2009-10,201024,,,32,577,5.54592721,93.6564643
Region,8,,All,2009-10,201011,0,140,140,1378,10.15965167,98.34756745
State,,Hawaii,All,2009-10,201011,,,22,192,11.45833333,101.1443263
State,,Indiana,All,2009-10,201032,,,74,1072,6.902985075,97.73981477
State,,Utah,All,2009-10,201011,,,34,290,11.72413793,101.5464004
Region,4,,All,2009-10,201024,2,662,664,10160,6.535433071,97.51151481
State,,South Dakota,All,2009-10,201039,,,18,132,13.63636364,96.40423525
Region,7,,All,2009-10,201014,0,170,170,2344,7.252559727,99.62946242
State,,Nebraska,All,2009-10,201003,,,34,317,10.72555205,108.559865
Region,10,,All,2009-10,200940,8,121,129,1726,7.473928158,93.50600202
State,,Delaware,All,2009-10,201029,,,10,135,7.407407407,91.42310933
State,,Washington,All,2009-10,200947,,,72,881,8.172531215,94.18266821
Region,4,,All,2009-10,201012,10,851,861,10609,8.115750778,101.8208327
National,,,18-64 years,2009-10,201029,3,464,467,11901,3.924039997,93.79669816
State,,Arkansas,All,2009-10,201004,,,57,571,9.982486865,102.0514794
State,,Colorado,All,2009-10,200946,,,39,583,6.689536878,95.13351031
State,,Pennsylvania,All,2009-10,201020,,,137,2301,5.953933073,95.50315458
State,,Alaska,All,2009-10,201023,,,4,69,5.797101449,95.72519084
National,,,18-64 years,2009-10,201035,0,524,524,11698,4.479398188,93.08000294
State,,Alabama,All,2009-10,201001,,,89,1031,8.632395732,111.6257505
State,,Kansas,All,2009-10,201020,,,31,444,6.981981982,94.166117
State,,District of Columbia,All,2009-10,200946,,,1,89,1.123595506,99.65711224
Region,10,,All,2009-10,201025,0,122,122,1805,6.75900277,97.78582482
State,,South Dakota,All,2009-10,200948,,,10,131,7.633587786,95.67390013
State,,Arkansas,All,2009-10,200940,,,42,547,7.678244973,97.76210022
State,,Idaho,All,2009-10,201006,,,15,194,7.731958763,87.272649
State,,Missouri,All,2009-10,201005,,,103,1071,9.617180205,101.4742483
State,,Michigan,All,2009-10,201005,,,128,1703,7.516147974,100.864038
State,,Montana,All,2009-10,200941,,,11,186,5.913978495,110.6953699
Region,6,,All,2009-10,200950,11,467,478,5777,8.274190756,103.9239837
State,,Georgia,All,2009-10,201026,,,72,1289,5.585725369,95.11437337
State,,Colorado,All,2009-10,200947,,,50,613,8.156606852,100.0288882
State,,Nevada,All,2009-10,201021,,,22,401,5.486284289,104.9922329
State,,Missouri,All,2009-10,200948,,,90,1070,8.411214953,101.3795011
