Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,Enterocolitis due to Clostridium difficile,A04.7,273,7840781,3.5
,Alabama,1,Gastroenteritis and colitis of unspecified origin,A09.9,92,7840781,1.2
,Alabama,1,Pulmonary mycobacterial infection,A31.0,11,7840781,Unreliable
,Alabama,1,Septicaemia due to Staphylococcus aureus,A41.0,30,7840781,0.4
,Alabama,1,Septicaemia due to unspecified staphylococcus,A41.2,12,7840781,Unreliable
,Alabama,1,Septicaemia due to other Gram-negative organisms,A41.5,46,7840781,0.6
,Alabama,1,"Septicaemia, unspecified",A41.9,2126,7840781,27.1
,Alabama,1,"Staphylococcal infection, unspecified",A49.0,19,7840781,Unreliable
,Alabama,1,"Bacterial infection, unspecified",A49.9,44,7840781,0.6
,Alabama,1,Creutzfeldt-Jakob disease - CJD,A81.0,11,7840781,Unreliable
,Alabama,1,Chronic viral hepatitis C,B18.2,190,7840781,2.4
,Alabama,1,HIV disease resulting in other bacterial infections,B20.1,16,7840781,Unreliable
,Alabama,1,HIV disease resulting in other viral infections,B20.3,14,7840781,Unreliable
,Alabama,1,HIV disease resulting in multiple infections,B20.7,30,7840781,0.4
,Alabama,1,HIV disease resulting in other infectious and parasitic diseases,B20.8,19,7840781,Unreliable
,Alabama,1,HIV disease resulting in other malignant neoplasms,B21.8,10,7840781,Unreliable
,Alabama,1,HIV disease resulting in multiple diseases classified elsewhere,B22.7,25,7840781,0.3
,Alabama,1,HIV disease resulting in other specified conditions,B23.8,50,7840781,0.6
,Alabama,1,Unspecified human immunodeficiency virus [HIV] disease,B24,65,7840781,0.8
,Alabama,1,Candidal septicaemia,B37.7,15,7840781,Unreliable
,Alabama,1,Unspecified mycosis,B49,14,7840781,Unreliable
,Alabama,1,Sequelae of other specified infectious and parasitic diseases,B94.8,24,7840781,0.3
,Alabama,1,Other and unspecified infectious diseases,B99,10,7840781,Unreliable
,Alabama,1,"Tongue, unspecified - Malignant neoplasms",C02.9,66,7840781,0.8
,Alabama,1,"Mouth, unspecified - Malignant neoplasms",C06.9,36,7840781,0.5
,Alabama,1,Malignant neoplasm of parotid gland,C07,19,7840781,Unreliable
,Alabama,1,"Tonsil, unspecified - Malignant neoplasms",C09.9,26,7840781,0.3
,Alabama,1,"Oropharynx, unspecified - Malignant neoplasms",C10.9,42,7840781,0.5
